flow_name,latency_ms
Intra-EU,7354.0052
Intra-EU,7368.0052
Intra-EU,7382.0052
Intra-EU,7396.0052
Intra-EU,7410.0052
Intra-EU,7424.0052
Intra-EU,7438.0052
Intra-EU,7452.0053
Intra-EU,7466.0053
Intra-EU,7480.0053
Intra-EU,7495.0054
Intra-EU,7508.0053
Intra-EU,7522.0053
Intra-EU,7536.0053
Intra-EU,7550.0053
Intra-EU,7565.0002
Intra-EU,7578.0053
Intra-EU,7592.0054
Intra-EU,7606.0054
Intra-EU,7620.0054
Intra-EU,7634.0054
Intra-EU,7648.0054
Intra-EU,7662.0054
Intra-EU,7677.0002
Intra-EU,7690.0054
Intra-EU,7704.0054
Intra-EU,7718.0054
Intra-EU,7732.0054
Intra-EU,7746.0055
Intra-EU,7760.0055
Intra-EU,7774.0055
Intra-EU,7788.0055
Intra-EU,7802.0055
Intra-EU,7816.0055
Intra-EU,7830.0055
Intra-EU,7844.0055
Intra-EU,7858.0055
Intra-EU,7872.0055
Intra-EU,7886.0056
Intra-EU,7900.0056
Intra-EU,7914.0056
Intra-EU,7928.0056
Intra-EU,7942.0056
Intra-EU,7956.0056
Intra-EU,7970.0056
Intra-EU,7984.0056
Intra-EU,7998.0056
Intra-EU,8012.0056
Intra-EU,8026.0056
Intra-EU,8040.0057
Intra-EU,8054.0057
Intra-EU,8068.0057
Intra-EU,8082.0057
Intra-EU,8096.0057
Intra-EU,8110.0057
Intra-EU,8124.0057
Intra-EU,8138.0057
Intra-EU,8152.0057
Intra-EU,8166.0057
Intra-EU,8180.0058
Intra-EU,8194.0058
Intra-EU,8208.0058
Intra-EU,8222.0058
Intra-EU,8236.0058
Intra-EU,8250.0058
Intra-EU,8264.0058
Intra-EU,8278.0058
Intra-EU,8292.0058
Intra-EU,8306.0058
Intra-EU,8320.0059
Intra-EU,8334.0059
Intra-EU,8348.0059
Intra-EU,8362.0059
Intra-EU,8376.0059
Intra-EU,8390.0059
Intra-EU,8404.0059
Intra-EU,8424.0002
Intra-EU,8432.0059
Intra-EU,8446.0059
Intra-EU,8460.0059
Intra-EU,8474.006
Intra-EU,8488.006
Intra-EU,8502.006
Intra-EU,8516.006
Intra-EU,8530.006
Intra-EU,8544.006
Intra-EU,8559.0002
Intra-EU,8572.006
Intra-EU,8586.006
Intra-EU,8600.006
Intra-EU,8614.0061
Intra-EU,8628.0061
Intra-EU,8642.0061
Intra-EU,8656.0061
Intra-EU,8670.0061
Intra-EU,8684.0061
Intra-EU,8699.0002
Intra-EU,8712.0061
Intra-EU,8726.0061
Intra-EU,8740.0061
Intra-EU,8754.0061
Intra-EU,8768.0062
Intra-EU,8782.0062
Intra-EU,8796.0062
Intra-EU,8810.0062
Intra-EU,8824.0062
Intra-EU,8838.0062
Intra-EU,8852.0062
Intra-EU,8866.0062
Intra-EU,8880.0062
Intra-EU,8894.0062
Intra-EU,8908.0063
Intra-EU,8922.0063
Intra-EU,8936.0063
Intra-EU,8950.0063
Intra-EU,8964.0063
Intra-EU,8978.0063
Intra-EU,8992.0063
Intra-EU,9006.0063
Intra-EU,9020.0063
Intra-EU,9034.0063
Intra-EU,9048.0063
Intra-EU,9062.0064
Intra-EU,9076.0064
Intra-EU,9090.0064
Intra-EU,9104.0064
Intra-EU,9118.0064
Intra-EU,9132.0064
Intra-EU,9146.0064
Intra-EU,9160.0064
Intra-EU,9174.0064
Intra-EU,9188.0064
Intra-EU,9202.0065
Intra-EU,9216.0065
Intra-EU,9230.0065
Intra-EU,9244.0065
Intra-EU,9258.0065
Intra-EU,9272.0065
Intra-EU,9286.0065
Intra-EU,9300.0065
Intra-EU,9314.0065
Intra-EU,9328.0065
Intra-EU,9342.0066
Intra-EU,9357.0067
Intra-EU,9370.0066
Intra-EU,9384.0066
Intra-EU,9398.0066
Intra-EU,9412.0066
Intra-EU,9426.0066
Intra-EU,9455.0066
Intra-EU,9469.0066
Intra-EU,9483.0066
Intra-EU,9497.0066
Intra-EU,9511.0067
Intra-EU,9525.0067
Intra-EU,9539.0067
Intra-EU,9553.0067
Intra-EU,9567.0067
Intra-EU,9581.0067
Intra-EU,9595.0067
Intra-EU,9609.0067
Intra-EU,9623.0067
Intra-EU,9637.0067
Intra-EU,9651.0068
Intra-EU,9665.0068
Intra-EU,9679.0068
Intra-EU,9693.0068
Intra-EU,9707.0068
Intra-EU,9721.0068
Intra-EU,9735.0068
Intra-EU,9749.0068
Intra-EU,9763.0068
Intra-EU,9777.0068
Intra-EU,9791.0068
Intra-EU,9805.0069
Intra-EU,9819.0069
Intra-EU,9833.0069
Intra-EU,9847.0069
Intra-EU,9861.0069
Intra-EU,9890.0069
Intra-EU,9904.0069
Intra-EU,9918.0069
Intra-EU,9932.0069
Intra-EU,9946.0069
Intra-EU,9960.007
Intra-EU,9974.007
Intra-EU,9988.007
Intra-EU,10002.007
Intra-EU,10016.007
Intra-EU,10030.007
Intra-EU,10044.007
Intra-EU,10058.007
Intra-EU,10072.007
Intra-EU,10086.007
Intra-EU,10100.0071
Intra-EU,10114.0071
Intra-EU,10128.0071
Intra-EU,10142.0071
Intra-EU,10156.0071
Intra-EU,10170.0071
Intra-EU,10184.0071
Intra-EU,10198.0071
Intra-EU,10212.0071
Intra-EU,10226.0071
Intra-EU,10240.0071
Intra-EU,10254.0072
Intra-EU,10268.0072
Intra-EU,10282.0072
Intra-EU,10297.0073
Intra-EU,10310.0072
Intra-EU,10324.0072
Intra-EU,10338.0072
Intra-EU,10352.0072
Intra-EU,10367.0002
Intra-EU,10380.0072
Intra-EU,10394.0073
Intra-EU,10408.0073
Intra-EU,10422.0073
Intra-EU,10436.0073
Intra-EU,10465.0073
Intra-EU,10480.0002
Intra-EU,10493.0073
Intra-EU,10507.0073
Intra-EU,10521.0073
Intra-EU,10535.0073
Intra-EU,10549.0073
Intra-EU,10563.0074
Intra-EU,10577.0074
Intra-EU,10591.0074
Intra-EU,10605.0074
Intra-EU,10619.0074
Intra-EU,10633.0074
Intra-EU,10647.0074
Intra-EU,10661.0074
Intra-EU,10675.0074
Intra-EU,10689.0074
Intra-EU,10703.0075
Intra-EU,10717.0075
Intra-EU,10731.0075
Intra-EU,10745.0075
Intra-EU,10759.0075
Intra-EU,10773.0075
Intra-EU,10787.0075
Intra-EU,10801.0075
Intra-EU,10815.0075
Intra-EU,10829.0075
Intra-EU,10843.0076
Intra-EU,10857.0076
Intra-EU,10871.0076
Intra-EU,10885.0076
Intra-EU,10899.0076
Intra-EU,10913.0076
Intra-EU,10927.0076
Intra-EU,10941.0076
Intra-EU,10955.0076
Intra-EU,10969.0076
Intra-EU,10983.0076
Intra-EU,10997.0077
Intra-EU,11011.0077
Intra-EU,11025.0077
Intra-EU,11039.0077
Intra-EU,11053.0077
Intra-EU,11067.0077
Intra-EU,11081.0077
Intra-EU,11095.0077
Intra-EU,11109.0077
Intra-EU,11123.0077
Intra-EU,11137.0078
Intra-EU,11151.0078
Intra-EU,11165.0078
Intra-EU,11179.0078
Intra-EU,11193.0078
Intra-EU,11207.0078
Intra-EU,11227.0002
Intra-EU,11235.0078
Intra-EU,11249.0078
Intra-EU,11263.0078
Intra-EU,11277.0078
Intra-EU,11291.0079
Intra-EU,11305.0079
Intra-EU,11319.0079
Intra-EU,11333.0079
Intra-EU,11347.0079
Intra-EU,11362.0002
Intra-EU,11375.0079
Intra-EU,11389.0079
Intra-EU,11403.0079
Intra-EU,11417.0079
Intra-EU,11432.0014
Intra-EU,11445.008
Intra-EU,11459.008
Intra-EU,11473.008
Intra-EU,11487.008
Intra-EU,11502.0002
Intra-EU,11515.008
Intra-EU,11529.008
Intra-EU,11543.008
Intra-EU,11557.008
Intra-EU,11571.0081
Intra-EU,11585.0081
Intra-EU,11599.0081
Intra-EU,11613.0081
Intra-EU,11627.0081
Intra-EU,11642.0002
Intra-EU,11655.0081
Intra-EU,11669.0081
Intra-EU,11683.0081
Intra-EU,11697.0081
Intra-EU,11711.0081
Intra-EU,11725.0082
Intra-EU,11739.0082
Intra-EU,11753.0082
Intra-EU,11767.0082
Intra-EU,11781.0082
Intra-EU,11795.0082
Intra-EU,11809.0082
Intra-EU,11823.0082
Intra-EU,11837.0082
Intra-EU,11851.0082
Intra-EU,11865.0083
Intra-EU,11879.0083
Intra-EU,11893.0083
Intra-EU,11907.0083
Intra-EU,11921.0083
Intra-EU,11935.0083
Intra-EU,11949.0083
Intra-EU,11963.0083
Intra-EU,11977.0083
Intra-EU,11991.0083
Intra-EU,12005.0083
Intra-EU,12019.0084
Intra-EU,12033.0084
Intra-EU,12047.0084
Intra-EU,12061.0084
Intra-EU,12075.0084
Intra-EU,12089.0084
Intra-EU,12103.0084
Intra-EU,12117.0084
Intra-EU,12131.0084
Intra-EU,12145.0084
Intra-EU,12160.0085
Intra-EU,12173.0085
Intra-EU,12187.0085
Intra-EU,12201.0085
Intra-EU,12215.0085
Intra-EU,12229.0085
Intra-EU,12243.0085
Intra-EU,12257.0085
Intra-EU,12271.0085
Intra-EU,12285.0085
Intra-EU,12299.0085
Intra-EU,12313.0086
Intra-EU,12327.0086
Intra-EU,12341.0086
Intra-EU,12355.0086
Intra-EU,12369.0086
Intra-EU,12383.0086
Intra-EU,12397.0086
Intra-EU,12411.0086
Intra-EU,12425.0086
Intra-EU,12439.0086
Intra-EU,12453.0087
Intra-EU,12467.0087
Intra-EU,12481.0087
Intra-EU,12495.0087
Intra-EU,12509.0087
Intra-EU,12523.0087
Intra-EU,12537.0087
Intra-EU,12551.0087
Intra-EU,12565.0087
Intra-EU,12579.0087
Intra-EU,12593.0088
Intra-EU,12607.0088
Intra-EU,12621.0088
Intra-EU,12635.0088
Intra-EU,12649.0088
Intra-EU,12663.0088
Intra-EU,12677.0088
Intra-EU,12691.0088
Intra-EU,12705.0088
